F62T,
X,Y
0.03824390728148103,12.244254727751034
0.07502854022931449,12.63959894773416
0.12470839330917749,13.37593686404924
0.15052365116394495,14.000843798084087
0.18706010820469549,14.966992604357973
0.2348389338363031,15.075693651660302
0.30005956221769986,15.068248374447816
0.35223606492281717,15.062292152677824
0.3892192385963171,15.000992703628334
0.4326996575172482,14.996029185486677
0.4739812379014245,15.048394301881178
0.5153124534670173,14.986598501017525
0.5852037524197151,14.236610909812878
0.6834814116245596,13.197994738670772
0.7293840273986201,12.621978458331267
0.7666650121606193,11.875713505732865
0.7974239340844793,11.130193080855715
0.8322579044026406,11.012061349084235
0.8605449942919541,10.951754603663076
0.8996773713207922,10.947287437335586
0.915292599394451,10.032262867920782
0.9289571648384374,8.603762346751378
0.9382488707996228,7.232838636025214
0.9497642328882712,5.747505832133822
0.967776840224351,4.31850895915025
0.9769692758227033,3.175907082940391
0.992783044622028,1.804238844492975
1.0021492033553383,0.2620737578795911
